Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,426.188749,-257.2562,0.0,bottom
C3,100nF,C_0402_1005Metric,400.97075,-244.017076,270.0,bottom
C4,100nF,C_0402_1005Metric,413.16275,-249.79495,90.0,bottom
C5,100nF,C_0402_1005Metric,409.94195,-240.65095,0.0,bottom
C6,100nF,C_0402_1005Metric,406.17775,-253.35095,180.0,bottom
C7,100nF,C_0402_1005Metric,410.83095,-252.907076,180.0,bottom
C8,1uF,C_0402_1005Metric,417.22675,-237.60295,270.0,bottom
C9,1uF,C_0402_1005Metric,412.036251,-237.893696,90.0,bottom
D4,1n4148,D_SOD-123-EditSkilk,191.29375,-207.9167,90.0,bottom
D5,1n4148,D_SOD-123-EditSkilk,229.39375,-207.9625,90.0,bottom
D6,1n4148,D_SOD-123-EditSkilk,248.44375,-207.9167,90.0,bottom
D7,1n4148,D_SOD-123-EditSkilk,267.49375,-207.9167,90.0,bottom
D8,1n4148,D_SOD-123-EditSkilk,286.54375,-207.9167,90.0,bottom
D9,1n4148,D_SOD-123-EditSkilk,305.59375,-207.9167,90.0,bottom
D10,1n4148,D_SOD-123-EditSkilk,324.64375,-207.9167,90.0,bottom
D11,1n4148,D_SOD-123-EditSkilk,353.21875,-207.9625,90.0,bottom
D12,1n4148,D_SOD-123-EditSkilk,372.26875,-207.9167,90.0,bottom
D13,1n4148,D_SOD-123-EditSkilk,391.31875,-207.9167,90.0,bottom
D14,1n4148,D_SOD-123-EditSkilk,410.36875,-207.9167,90.0,bottom
D15,1n4148,D_SOD-123-EditSkilk,438.94375,-207.9167,90.0,bottom
D16,1n4148,D_SOD-123-EditSkilk,496.09375,-207.9167,90.0,bottom
D17,1n4148,D_SOD-123-EditSkilk,515.14375,-207.9167,90.0,bottom
D18,1n4148,D_SOD-123-EditSkilk,534.19375,-207.9167,90.0,bottom
D19,1n4148,D_SOD-123-EditSkilk,553.24375,-207.9167,90.0,bottom
D20,1n4148,D_SOD-123-EditSkilk,229.39375,-226.9667,90.0,bottom
D21,1n4148,D_SOD-123-EditSkilk,248.44375,-226.9667,90.0,bottom
D22,1n4148,D_SOD-123-EditSkilk,267.49375,-226.9667,90.0,bottom
D23,1n4148,D_SOD-123-EditSkilk,286.54375,-226.9667,90.0,bottom
D24,1n4148,D_SOD-123-EditSkilk,305.59375,-226.9667,90.0,bottom
D25,1n4148,D_SOD-123-EditSkilk,324.64375,-226.9667,90.0,bottom
D26,1n4148,D_SOD-123-EditSkilk,353.21875,-226.9667,90.0,bottom
D27,1n4148,D_SOD-123-EditSkilk,372.26875,-226.9667,90.0,bottom
D28,1n4148,D_SOD-123-EditSkilk,391.31875,-226.9667,90.0,bottom
D29,1n4148,D_SOD-123-EditSkilk,410.36875,-226.9667,90.0,bottom
D30,1n4148,D_SOD-123-EditSkilk,496.09375,-226.9667,90.0,bottom
D31,1n4148,D_SOD-123-EditSkilk,515.14375,-226.9667,90.0,bottom
D32,1n4148,D_SOD-123-EditSkilk,534.19375,-226.9667,90.0,bottom
D33,1n4148,D_SOD-123-EditSkilk,553.24375,-236.4917,90.0,bottom
D34,1n4148,D_SOD-123-EditSkilk,496.09375,-246.0167,90.0,bottom
D35,1n4148,D_SOD-123-EditSkilk,515.14375,-246.0167,90.0,bottom
D36,1n4148,D_SOD-123-EditSkilk,534.19375,-246.0167,90.0,bottom
D37,1n4148,D_SOD-123-EditSkilk,191.29375,-265.0667,90.0,bottom
D38,1n4148,D_SOD-123-EditSkilk,210.34375,-265.0667,90.0,bottom
D39,1n4148,D_SOD-123-EditSkilk,229.39375,-265.0667,90.0,bottom
D40,1n4148,D_SOD-123-EditSkilk,248.44375,-265.0667,90.0,bottom
D41,1n4148,D_SOD-123-EditSkilk,267.49375,-265.0667,90.0,bottom
D42,1n4148,D_SOD-123-EditSkilk,286.54375,-265.0667,90.0,bottom
D43,1n4148,D_SOD-123-EditSkilk,305.59375,-265.0667,90.0,bottom
D44,1n4148,D_SOD-123-EditSkilk,324.64375,-265.0667,90.0,bottom
D45,1n4148,D_SOD-123-EditSkilk,343.69375,-265.0667,90.0,bottom
D46,1n4148,D_SOD-123-EditSkilk,362.74375,-265.0667,90.0,bottom
D47,1n4148,D_SOD-123-EditSkilk,381.79375,-265.0667,90.0,bottom
D48,1n4148,D_SOD-123-EditSkilk,400.84375,-265.0667,90.0,bottom
D49,1n4148,D_SOD-123-EditSkilk,419.89375,-265.0667,90.0,bottom
D50,1n4148,D_SOD-123-EditSkilk,448.46875,-265.0667,90.0,bottom
D51,1n4148,D_SOD-123-EditSkilk,196.05625,-284.1167,90.0,bottom
D52,1n4148,D_SOD-123-EditSkilk,219.86875,-284.1167,90.0,bottom
D53,1n4148,D_SOD-123-EditSkilk,238.91875,-284.1167,90.0,bottom
D54,1n4148,D_SOD-123-EditSkilk,257.96875,-284.1167,90.0,bottom
D55,1n4148,D_SOD-123-EditSkilk,277.01875,-284.1167,90.0,bottom
D56,1n4148,D_SOD-123-EditSkilk,296.06875,-284.1167,90.0,bottom
D57,1n4148,D_SOD-123-EditSkilk,315.11875,-284.1167,90.0,bottom
D58,1n4148,D_SOD-123-EditSkilk,334.16875,-284.1167,90.0,bottom
D59,1n4148,D_SOD-123-EditSkilk,353.21875,-284.1167,90.0,bottom
D60,1n4148,D_SOD-123-EditSkilk,372.26875,-284.1167,90.0,bottom
D61,1n4148,D_SOD-123-EditSkilk,391.31875,-284.1167,90.0,bottom
D62,1n4148,D_SOD-123-EditSkilk,410.36875,-284.1167,90.0,bottom
D63,1n4148,D_SOD-123-EditSkilk,429.41875,-284.1167,90.0,bottom
D64,1n4148,D_SOD-123-EditSkilk,453.23125,-284.1167,90.0,bottom
D65,1n4148,D_SOD-123-EditSkilk,496.09375,-265.0042,90.0,bottom
D66,1n4148,D_SOD-123-EditSkilk,515.14375,-265.0667,90.0,bottom
D67,1n4148,D_SOD-123-EditSkilk,534.19375,-265.0667,90.0,bottom
D68,1n4148,D_SOD-123-EditSkilk,553.24375,-274.5917,90.0,bottom
D69,1n4148,D_SOD-123-EditSkilk,198.4375,-303.1667,90.0,bottom
D70,1n4148,D_SOD-123-EditSkilk,224.63125,-303.1667,90.0,bottom
D71,1n4148,D_SOD-123-EditSkilk,243.68125,-303.1667,90.0,bottom
D72,1n4148,D_SOD-123-EditSkilk,262.73125,-303.1667,90.0,bottom
D73,1n4148,D_SOD-123-EditSkilk,281.78125,-303.1667,90.0,bottom
D74,1n4148,D_SOD-123-EditSkilk,300.83125,-303.1667,90.0,bottom
D75,1n4148,D_SOD-123-EditSkilk,319.88125,-303.1667,90.0,bottom
D76,1n4148,D_SOD-123-EditSkilk,338.93125,-303.1667,90.0,bottom
D77,1n4148,D_SOD-123-EditSkilk,357.98125,-303.1667,90.0,bottom
D78,1n4148,D_SOD-123-EditSkilk,377.03125,-303.1667,90.0,bottom
D79,1n4148,D_SOD-123-EditSkilk,396.08125,-303.1667,90.0,bottom
D80,1n4148,D_SOD-123-EditSkilk,415.13125,-303.1667,90.0,bottom
D81,1n4148,D_SOD-123-EditSkilk,446.0875,-303.1667,90.0,bottom
D82,1n4148,D_SOD-123-EditSkilk,505.61875,-284.1167,90.0,bottom
D83,1n4148,D_SOD-123-EditSkilk,534.19375,-284.1167,90.0,bottom
D84,1n4148,D_SOD-123-EditSkilk,203.2,-322.2167,90.0,bottom
D85,1n4148,D_SOD-123-EditSkilk,215.10625,-322.2167,90.0,bottom
D86,1n4148,D_SOD-123-EditSkilk,234.15625,-322.2167,90.0,bottom
D87,1n4148,D_SOD-123-EditSkilk,253.20625,-322.2167,90.0,bottom
D88,1n4148,D_SOD-123-EditSkilk,272.25625,-322.2167,90.0,bottom
D89,1n4148,D_SOD-123-EditSkilk,291.30625,-322.2167,90.0,bottom
D90,1n4148,D_SOD-123-EditSkilk,310.35625,-322.2167,90.0,bottom
D91,1n4148,D_SOD-123-EditSkilk,329.40625,-322.2167,90.0,bottom
D92,1n4148,D_SOD-123-EditSkilk,348.45625,-322.2167,90.0,bottom
D93,1n4148,D_SOD-123-EditSkilk,367.50625,-322.2167,90.0,bottom
D94,1n4148,D_SOD-123-EditSkilk,386.55625,-322.2167,90.0,bottom
D95,1n4148,D_SOD-123-EditSkilk,405.60625,-322.2167,90.0,bottom
D96,1n4148,D_SOD-123-EditSkilk,434.18125,-322.2167,90.0,bottom
D97,1n4148,D_SOD-123-EditSkilk,467.51875,-326.9792,90.0,bottom
D98,1n4148,D_SOD-123-EditSkilk,386.55625,-341.3583,90.0,bottom
D99,1n4148,D_SOD-123-EditSkilk,410.36875,-341.3583,90.0,bottom
D100,1n4148,D_SOD-123-EditSkilk,448.46875,-346.0292,90.0,bottom
D101,1n4148,D_SOD-123-EditSkilk,467.51875,-346.0292,90.0,bottom
D102,1n4148,D_SOD-123-EditSkilk,486.56875,-346.0292,90.0,bottom
D103,1n4148,D_SOD-123-EditSkilk,196.05625,-341.2667,90.0,bottom
D104,1n4148,D_SOD-123-EditSkilk,224.63125,-341.3125,90.0,bottom
D105,1n4148,D_SOD-123-EditSkilk,305.59375,-341.3125,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,416.46225,-234.937824,0.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,426.5875,-231.540574,270.0,bottom
R1,10k,R_0402_1005Metric,418.31475,-255.6687,270.0,bottom
R2,5k1,R_0402_1005Metric,420.14225,-230.619824,0.0,bottom
R3,5k1,R_0402_1005Metric,420.14225,-232.905824,0.0,bottom
R4,470,R_0402_1005Metric,474.24975,-211.94895,0.0,bottom
R5,470,R_0402_1005Metric,453.80275,-211.94895,0.0,bottom
R6,470,R_0402_1005Metric,464.08975,-211.94895,0.0,bottom
R7,4.7k,R_0402_1005Metric,440.52375,-249.03295,90.0,bottom
R8,4.7k,R_0402_1005Metric,441.66875,-247.76295,270.0,bottom
SW1,RST,SW_SPST_SKQG_WithoutStem,421.74375,-252.3667,90.0,bottom
SW2,RST,SW_SPST_SKQG_WithoutStem,427.585748,-252.3667,90.0,bottom
U1,USBLC6-2SC6,SOT-23-6,416.71325,-231.95395,180.0,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,407.19375,-247.033326,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,414.654748,-238.020697,180.0,bottom
